89;400;73;2;588684
30;700;98;2;69826
99;600;60;4;748385
54;900;24;2;217022
7;800;19;0;4476
46;600;42;1;158044
4;100;87;1;3790
5;200;4;4;23407
28;500;69;0;60198
84;900;27;4;544378
35;800;70;0;92877
39;400;29;1;113647
34;800;62;0;87555
16;600;98;0;21916
59;600;62;4;280759
68;800;9;3;344914
83;0;10;0;83
50;900;56;0;186853
77;600;27;3;441959
20;600;15;4;51496
56;900;86;4;255892
85;600;45;4;557356
74;700;60;4;428340
77;900;94;3;443783
0;400;33;2;1450
94;900;87;3;658712
15;500;92;2;19702
23;900;41;2;40843
88;900;56;0;574909
15;300;21;2;17765
12;100;36;0;11885
3;100;55;0;2408
87;800;57;1;561982
29;400;57;1;64083
11;900;83;2;11785
60;600;71;3;270801
55;700;25;2;225105
33;600;16;0;81344
79;300;35;2;463327
36;0;37;3;2241
30;400;57;4;89614
91;400;55;2;614838
15;800;89;0;19390
66;200;75;3;326811
92;0;48;0;83
98;400;70;2;713145
17;800;60;0;23343
0;900;29;1;1124
44;800;42;0;144735
4;800;89;1;3924
88;100;46;0;574555
43;300;80;0;139285
73;800;60;3;398461
93;300;0;2;640574
41;200;68;1;126514
62;900;24;1;285445
39;700;93;3;117554
65;400;14;0;313338
65;200;12;1;313258
85;300;96;0;537541
21;900;33;1;33866
92;500;29;0;627438
98;900;26;0;711739
50;300;18;4;206950
61;0;25;0;83
45;800;92;3;154829
62;500;24;2;285672
50;200;9;3;187685
81;400;90;0;488254
79;100;10;2;462610
20;900;37;2;31189
92;700;11;2;627213
70;500;49;1;364242
45;300;31;2;151235
50;500;6;0;185481
79;500;24;1;462801
9;600;86;3;10800
37;900;18;2;102382
38;500;79;0;109308
15;200;44;0;18122
89;500;53;4;609069
38;400;41;1;108273
91;700;41;1;614232
14;700;84;3;19261
83;0;63;0;83
19;100;29;4;48919
89;0;91;4;21248
2;500;89;3;5176
32;300;77;1;78154
79;0;12;1;83
69;500;94;3;357329
23;800;58;3;43207
0;200;31;2;1370
3;0;81;4;21248
21;300;48;0;34229
60;0;19;3;2241
85;800;16;4;556584
19;800;87;0;29400
85;100;24;0;535555
59;200;19;2;258640
56;0;84;2;332
62;500;56;0;286287
90;700;63;1;601432
47;400;96;2;166617
82;200;96;3;502610
92;400;94;2;629433
17;800;90;4;45318
52;900;41;1;201544
11;500;73;0;11244
42;900;61;3;134682
38;400;36;0;108138
58;200;17;2;249928
44;600;46;1;144832
2;0;65;1;83
10;500;0;4;28884
16;300;75;4;42433
70;0;5;3;2241
82;600;98;0;500548
42;600;6;0;131023
18;500;44;4;46648
41;0;2;0;83
82;700;67;4;520881
75;900;11;1;416888
13;800;71;3;16918
39;600;48;3;116334
94;600;93;1;656701
32;100;88;2;78658
79;200;16;2;462799
75;800;68;2;418672
38;500;54;3;110791
54;500;4;4;237376
3;700;3;4;22243
3;300;67;2;3023
50;100;85;4;208717
64;300;89;3;307964
58;700;16;3;251857
76;400;42;1;428868
71;600;79;2;375742
13;500;97;2;15693
63;200;11;1;294287
55;900;16;2;224872
92;100;44;1;627781
27;500;52;0;55669
42;800;18;0;131358
4;200;36;2;2689
9;500;4;2;6670
51;300;91;4;216395
57;300;32;3;243746
34;0;22;3;2241
2;800;86;4;24120
3;800;66;1;2785
58;600;16;2;249943
48;300;89;2;173447
20;600;32;3;32948
99;300;37;4;747737
78;200;74;4;473663
22;600;94;1;38680
15;100;57;0;18446
71;300;16;0;373765
59;500;44;3;261259
38;400;17;0;107625
32;100;34;1;76951
77;300;92;0;441529
45;600;72;3;154278
63;600;96;0;296624
99;400;0;1;725584
77;900;1;2;439363
54;500;97;4;239887
31;400;54;3;75040
68;800;47;0;343782
12;900;52;4;33566
6;400;77;1;5053
43;400;51;2;138762
80;300;13;2;474499
24;400;46;3;46334
12;300;74;3;15111
10;900;59;3;11492
69;600;23;1;353261
97;500;91;3;701200
52;0;24;0;83
46;700;89;1;159318
83;300;36;4;532221
69;200;38;3;355782
26;400;77;3;54571
93;800;66;0;642145
94;100;48;3;657575
68;100;47;0;343702
64;300;67;0;305212
3;700;89;3;5558
12;700;97;1;13606
59;700;15;2;258579
52;400;25;2;201330
32;300;12;3;78557
36;100;21;0;96728
4;0;77;3;2241
96;700;31;4;704317
54;200;37;3;219225
49;400;99;3;182815
22;600;98;1;38788
10;300;23;4;29485
19;600;24;0;27688
49;800;60;3;181789
18;0;22;4;21248
87;500;65;3;564338
77;400;11;1;439353
89;0;86;3;2241
29;400;89;1;64947
60;200;86;4;290171
0;200;34;1;1202
60;700;7;1;266920
37;100;97;1;104182
86;300;69;3;551624
17;0;41;3;2241
42;700;73;1;132838
12;200;63;2;12890
27;100;51;4;76745
63;700;33;4;316093
36;0;55;0;83
73;200;1;4;415822
67;0;74;2;332
2;500;95;2;3429
94;900;20;1;654745
83;500;78;2;512459
36;100;94;2;98948
71;700;28;4;395286
19;500;85;4;50493
39;600;55;2;114614
9;100;44;3;9597
96;100;60;0;683861
12;100;49;3;14394
16;900;62;0;20959
13;600;57;4;35536
35;500;43;1;92130
20;0;50;4;21248
67;500;18;3;335149
38;400;91;4;130788
6;200;77;0;5027
85;600;18;1;535462
57;100;58;0;242248
89;500;6;0;586635
52;200;83;4;223786
82;400;84;1;500154
91;400;29;0;613887
69;100;16;0;353003
25;500;45;0;47784
23;600;63;1;41173
97;400;51;1;697953
89;0;63;4;21248
12;700;18;4;32638
33;400;96;1;83488
9;500;6;3;8633
98;500;5;0;711150
20;200;85;4;53344
18;100;77;2;26561
75;0;6;1;83
90;900;10;2;600260
68;100;49;1;343756
35;500;78;1;93075
22;600;26;1;36844
11;100;48;4;31672
34;400;80;4;109179
87;700;24;4;582250
89;0;30;0;83
51;300;34;0;193691
74;300;21;1;406090
80;100;58;0;475423
88;400;28;1;574122
68;600;35;4;364612
10;700;10;4;29166
76;400;63;1;429435
64;600;98;1;306076
39;200;88;0;115214
68;100;78;0;344539
13;800;55;3;16486
25;300;4;0;46657
60;200;99;2;269606
59;900;72;1;259879
96;700;54;2;684022
33;200;28;4;102791
36;800;41;1;97348
30;200;57;3;70581
60;400;48;2;268255
48;400;82;0;173020
96;300;82;3;686655
43;600;96;1;139744
46;0;3;1;83
54;400;56;0;217606
52;900;47;2;201955
21;600;77;4;56204
20;500;71;0;31836
30;600;80;3;71244
39;500;38;4;135064
73;400;25;4;416496
36;900;51;0;97622
13;900;81;2;15283
60;0;0;2;332
88;900;68;0;575233
7;100;81;4;27235
97;300;19;2;697327
80;800;71;1;475854
92;900;25;4;648517
30;800;71;0;68854
87;400;12;3;562898
84;400;82;4;545833
94;200;85;3;658601
93;800;42;1;641497
83;100;80;4;533367
19;300;70;4;50068
52;700;45;2;201891
28;600;77;2;60670
21;200;67;2;34976
6;900;82;2;5468
3;900;5;2;1391
37;700;40;0;102717
61;0;36;2;332
23;800;48;3;42937
6;300;10;1;3233
62;0;53;0;83
82;100;44;0;499021
22;600;93;1;38653
97;800;23;4;718389
98;300;55;1;712480
35;300;43;0;92110
2;200;38;0;1606
37;100;46;4;123970
93;900;86;2;642938
20;100;67;3;33824
9;0;69;2;332
11;400;41;4;31536
59;800;20;1;258471
92;500;56;4;649332
7;700;6;0;4119
0;200;96;3;5034
51;300;72;4;215882
14;900;19;0;15358
0;0;82;1;83
84;600;72;0;524413
76;400;41;3;430999
59;900;14;2;258562
48;0;64;3;2241
24;0;93;1;83
43;500;52;4;159714
5;100;85;2;4651
11;900;20;2;10084
95;400;42;4;690459
88;500;92;2;576108
84;900;66;3;526424
31;0;33;1;83
43;700;84;3;141583
44;600;48;4;166051
7;500;58;0;5511
4;800;17;2;2229
74;900;76;2;407866
46;0;62;0;83
31;0;15;3;2241
11;900;71;1;11212
28;700;44;2;59784
43;400;74;2;139383
29;200;72;1;64462
63;900;90;2;296726
0;800;52;1;1741
90;400;28;2;600715
94;600;37;2;655438
97;0;63;0;83
67;0;49;0;83
4;300;64;1;3211
8;800;72;1;7017
77;400;60;4;461841
32;200;27;2;77038
26;700;96;3;55105
3;300;30;0;1775
93;600;25;0;641027
58;500;22;2;250098
50;800;48;3;188791
26;200;81;0;52495
86;200;84;3;552014
6;300;93;0;5474
71;900;58;4;396106
75;0;27;3;2241
38;200;81;1;109327
79;500;59;2;463995
94;900;92;0;656689
32;400;28;3;79000
68;400;37;1;343485
